Date,Title,Content,Author,Corporate Author,Class
FEB 28 2020,,"The Malawi Government is swearing in new members of the Malawi Human Rights Commission, 11 months after their appointment. In the picture, Reverend Patrick Semphere and Stella Twea taking oath of office.",Taonga Sabola,Times 360 Malawi,1
,Atupele resignation shakes UDF ,"United Democratic Front (UDF) has called for an emergency national executive committee meeting (NEC) meeting this week to discuss the way forward following the resignation of its leader  Atupele Muluzi. UDF secretary general  Kandi Padambo said in an interview yesterday that Atupele’s resignation come as a shock to party members from top to the grassroots. His sentiments come a day some after some UDF members in the Northern Region wrote his office, expressing their disappointment over Atupele’s move. In the latter, the members from the North asked Atupele, son to the country’s former president and UDF founding leader Bakili Muluzi, to reverse his decision, saying he is a “ capable leader” who can lead the party to form the next government. Padambo said his office is expecting more letters from other regions as Atupele’s resignation come as a surprise as he did not consult MEC.  He said; “Many members from all the regions have expressed disappointment and would like the president to reverse that decision. “So, we have to meet as a party and formulate a collective response to the president’s decision.” On whether Atupele’s resignation will affect the party’s alliance with the Democratic progressive party, Padambo said their alliance was only for the June 23 2020 court – sanctioned Fresh Presidential Elections and that each party is now working on its own. In a letter dated May 29 2022 addressed to Padambo, the Northern Region members said they understand that UDF is a party, but at the same time Atupele is the brand that the party has groomed over the years. Reads the letter in part; “In view of the foregoing, members, through you our Secretary General, would like to sincerely appeal and request the honourable president to consider rescinding his decision.” But in separate interviews yesterday, UDF leadership in the Southern, Central and Eastern regions said they will respect Atupele’s decision. UDF regional governor for the East Alhaj Abdul Nkata said no one can challenge Atupele’s decision because nobody forced him to join politics. He said; “He [Atupele] hasn’t argued with anyone, but he has just decided to quit active politics and concentrate on other personal issues. So, as the Easten Region, we welcome his decision because he joined politics himself and has also resigned himself.” While welcoming Atupele’s resignation. UDF acting regional governor for the South Charles Chikuwo said the party was an institution, as such a leader’s departure would not mean the end of it. On his part, UDF vice – president (centra) Michael Antoine also accepted Atupele’s decision. He said Atupele had always wanted to serve Malawians, but being a president in the opposition was frustrating his attempts to contribute to the betterment of Malawians. But writing on his Facebook page yesterday, Atupele said he had left politics to transition into a Pan – African business executive. He said with global business partners, he intended to immediately lead in a mini – industrial and economic revolution for the progress and development of Malawi. Commenting on the matter, political analyst Ernest Thindwa said he was not suprised that some UDF supporters were disappointed by Atupele’s decision. He said that for so long, the party has ridden on the Muluzi brand and the resignation marks the end of the UDF/Muluzi marriage. Said Thindwa; “Perhaps this is an opportunity to rebuild the party. The party should not be dependent on an individual and personalised. It’s high time the party moved without the Muluzi brand.” On his part, political commentator Humphrey Mvula expressed suprise at the way Atupele handled his resignation, saying he was supposed to make his announcement at the NEC meeting. However, he said the resignation will give an opportunity to transform UDF from being a regional party to a national party. Said Mvula; “It is a defining moment for the party to retrace its roots. It’s a positive development as the party will not be associated with a family (muluzi). At least for the first time the next leader will not be a Muluzi.” Atupele took over the party’sleadership in 2012 at theexpertisee of Friday Jumbe, George Nga Mtafu (now deceased) and Moses Dossi during the party’s convention succeeding his father former president Bakili Muluzi who was the party’s chairperson. According to UDF spokesperson Yusuf Mwawa, the former president now the party patron as there is no chairmanship role in the UDF constitution. Atupele become a second high ranking UDF official to quit after first vice – president Lance Mbwewe . UDF performance in elections has been dwindling since 1999 general elections when it amassed 91 parliamentary seats after it got 85 in the 1994 elections. In 2004, the party had 49 legislators 16 in 2009 and 14 in 2014. As of now, UDF has 10 parliamentarians. ",,National Publications Limited,1
JAN 13 2020,,"One of the country’s nongovernmental organizations, Centre for Democracy and Economic Development Initiatives (Cidedi), has hailed the country’s judges hearing the #PresidentialElectionsCase for reporting attempts by some unscrupulous individuals to bribe them to the Anti-Corruption Bureau (ACB). This follows revelations on Monday that the Chief Justice reported the attempted bribery to ACB. Cidedi Acting Executive Director, Sylvester Namiwa, has since urged the ACB to arrest the culprits.",,Times 360 Malawi,1
FEB 6 2020,,"Hara announces that Parliament is ready to comply with the Constitutional Court order and will deliberate on issues related to the Bill for fresh elections within the 21-day timeframe from the ruling date. Regarding the potential dissolution of the current MEC commissioners, she mentions that the Public Appointments Committee (PAC) will meet today to discuss the matter and will make a decision accordingly. Members of Parliament are set to convene on Monday, February 10.",Faith Kadzanja,Times 360 Malawi,1
FEB 11 2020,,"Commissioner Yahaya M'madi insists that announcing the Tippex results was not wrong, as Malawians were waiting for the information.",,Times 360 Malawi,1
, Usi dares councils to be creative on funding  ,"Vice- President Michael Usi has urged local councils in the country to put extra effort to mobilise resources for their respective projects to supplement allocations from central government. 
Speaking at Chikwawa District Hospital on Wesdnesday, he noted that some government ministries, departments and agencies (MDA’s) solely rely on government funding. 
Usi's sentiment follows concern by some district councils that low levels of government funding are one of the major challenges affecting service delivery. 
He said; “Let us not get used to problems. It is us who change . Write a proposal and identify a donor who can help us because the government cannot do everything on its own. So many people are just sitting blaming  government. Let's blame our thinking.” 
In May this year. Ministry of Local Government, National Unity and Culture indicated that the K3.2 billion councils were due to receive  in the last financial year remains estimates, not arrears as it was due to resource constraints. 
Secretary for Local Government Richard Hara said this in the awake of councils’ concerns that 20 councils were still owed about K3.2 billion for the 2023/24 fiscal year despite several queries to the Treasury. 
He said authorities were aware of the problem and will be addressing the issue as time goes, insisting that councils should know that the government budget is only an estimate. 
During his visit to Bangwe, Chilomoni, Nthukwa and Chirimba markets in Blantyre yesterday, Usi said his office is working with the Ministry of Local Government, unity and Culture to find a lasting solution for resource constraints most councils are facing.  
He also said government has removed collateral as a required for small- scale businesspeople to access National Economic Empowerment Funds (Neef) loans to enable them to get the loan. 
Usi further emphasis that Neef loans will benefit every small- scale businesspeople regardless of their political affiliation. 
He said; “From July [This month] to August you will get Neef loans without collateral. 
These loans applicants shouldn’t be politicians because Malawi Congress Party, DPP [Democratic progress part], UTM and UDF [United Democratic Front] supporters are Malawians even those without political parties should also benefit, but there is need for discipline,” 
In an interview after the Vice President’s tour, one of the vendors at Chilomoni Market. Kondwani Kaonga, expressed excitement with government’s decision to remove collateral as a requirement to access loans. 
He said collateral has been a major challenge for most small- scale businesspeople to access Neef loans. 
Usi is touring public institutions in the Southern Region and today he is scheduled to visit Mulanje District.    Usi dares councils to be creative on funding  ",,National Publications Limited,1
,"I’m not in a hurry, says Chakwera","President Lazarus Chakwera says he is not in a hurry to make public appointments or changes, saying everything needs to be done in an orderly manner and in accordance with the dictates of the law.
In an interview on Tiuzeni Zoona talk show on privately-owned Zodiak Broadcasting station (ZBS) radio, the president also said he was taking into consideration feedback from people; hence, the delays in making some appointments.
Said Chakwera: ‘’If it is about delays in removing and replacing a specific individual, then that is not right in a number of ways. One of it [the reasons] is that we should not appoint someone in contrast to what the law says.
‘’when we are fixing thins or when we are changing positions, there should be tolerance and respect for incumbent position holders so that proper handover are made even when there are issues.’’
The president, who was head of the Malawi Assemblies of God Church before joining front-line politics in2023, said there was need to abolish a culture where a change of regime means disregarding necessary procedures, including handover.
He said he believes that regardless of situations, there should be a proper way of doing things and procedures to be followed.
Chakwera who teamed up with UTM party president and the country’s then estranged Vice-President Saulos Chilima as his running mate in the June 23 fresh presidential elections, said it would not be proper to talk about his intention to stand again in the next election.
He said the focus now should be on how the country would be rebuilt, saying the issue of his candidacy in the next election would be tackled ‘’when we get to that bridge’’.
Chilima is on record as having hinted that the presidency or presidential ticket of Tonse Alliance would be rotational among partner parties.
During yesterday’s interview, Chakwera also started that his relationship with Chilima as his Vice-President will not at any point be complicated, emphasising that their main agenda is to rebuild the country.
Since 1994 when the country adopted a new constitution that created the Office of the Vice-President, the relationship between the president and Veep has often been strained, with the Vice-President been sidelined in the course of the tenure of office.
Reacting to Chakwera’s interview, governance commentator Makhumbo Munthali yesterday said the need to follow procedures and the law was the way to go.
But he said the Tonse Alliance administration should not be too slow to act as time is not on their side because Malawians are eagerly waiting for them to begin fulfilling their manifestos; hence, there is need for human resource to implement the pledges.
On whether Chakwera will represent the nine-party alliance again in the next election, he said that was some thing parties in the alliance may have already agreed upon before signing their agreement.
During the interview, Chakwera also defended his appointments of retired individuals back into the public service, saying they have been recalled to perform specific functions and would not be there for long as stipulated in their respective contracts.
He also backed the arrest of several officials under the ousted Democratic Progressive Party, saying the law is taking its course and not necessarily being selective.
While stressing his commitment to trim presidential powers, Chakwera said Tonse alliance will work strongly to rebuild the country as everyone in the alliance has a role to play.",LLOYD CHITSULO ,National Publications Limited,1
10/1/2024,,"Chimwendo advises political stakeholders to avoid inflammatory rhetoric; police calls for peace, tolerance
Richard Chimwendo Banda has urged political parties and other stakeholders in the political arena to aim at fostering an enabling environment for peaceful assembly and coexistence which are charted pillars for democracy and stop inflammatory language that may torpedo peace and tranquillity that Malawians are enjoying today.
He was speaking at a press briefing that he conducted at the party's headquarters in Lilongwe where he reacted to alleged remarks that were uttered by DPP's Regional Governor for the Eastern region, Daud Chikwanje.
Franked by several MCP high ranking party members, Chimwendo said political violence is poses a threat to social cohesion and economic development therefore it is imperative that political leaders must refrain from provoking youths to indulge in brutality and victimisation.
He has therefore, condemned Chikwanje remarks describing them as retrogressive and ant- democratic.
Meanwhile, Malawi Police has urged politicians to avoid inciting violence ahead of elections.",,Malawi Voice,0
JAN 14 2020,,"Reyneck Matemba: ""This is our chance to demonstrate to the people of Malawi that they can trust us; we can deliver...if we miss this opportunity, we might never get another chance.""",,Times 360 Malawi,1
FEB 8 2020,,MCP Secretary General Eisenhower Mkaka expresses gratitude to the Malawi Defence Force (MDF) soldiers for their support to Malawians.,MacDonald Thom,Times 360 Malawi,1
FEB 3 2020,,"The court found that the second respondent also violated the law by announcing the results without all the record log books from all districts, as mandated by Section 94 of the PPEA.",Sharon Chirwa,Times 360 Malawi,1
FEB 20 2020,,"After division, in which legislators take an individual vote, Parliament has resolved to waive a 28-day notice to accommodate a motion adopted yesterday to amend the Electoral Commission Act. It seeks to empower the Public Appointments Committee to have powers over MEC Commissioners and top officials.",Stephen Dakalira,Times 360 Malawi,1
,"Chakwera, Chilima meet at Umhangano","Some of the major political players in the country yesterday put aside politics and spoke and acted differently. The occasion was none other than Umhlangano, the Ngoni Maseko annual cultural festival which takes place at Nkolimbo, the  loyal ground of Inkosi Gamoni V Ntcheu. Among notable figures ot the ceremony were Malawi Congress Party (MCP) preside Lazuras Chokwera and Vice President Saulos Chilima, who is leading United Transformation Movement (UTM) while the only senior figure from the Democratic Progressive Party (DPP) Minister of Civic Education Grace Chiumia, who represented President Peter Mutharika on the function.  In the picture, Chakwera (L) and Chillima exchange plesantries on arrival at the ceremony.",,National Publications Limited,1
FEB 20 2020,,"Democratic Progressive Party (DPP) has postponed the planned 'march for justice' demonstrations that were supposed to be held in Mzuzu on Friday. DPP regional governor for the North, Kenneth Sanga, said the party will soon communicate on new dates. The decision comes after DPP ranks filed complaints that some parties have planned to masquerade as DPP supporters by dressing in DPP colours to cause violence during their peaceful march.",Sam Kalimira,Times 360 Malawi,1
FEB 3 2020,,"The MEC failed to publish the gazetted results within 48 hours. The gazette was issued on August 9, 2019, and did not include all the required details.",Audrey Kapalamula,Times 360 Malawi,1
FEB 3 2020,,"The court determined that the second respondent did not examine all null and void votes, which is contrary to the law.",Sharon Chirwa,Times 360 Malawi,1
FEB 3 2020,,Parliament is urged to make necessary amendments to clarify the appointing authority of the MEC Chairperson.,Sharon Chirwa,Times 360 Malawi,1
,Atupele faults long – term development ,"Former United Development Front (UDF) president Atupele Muluzi has said Malawi has all it takes to become an upper middle-income economy within 10 years, but what is lacking is good leadership. 
Speaking yesterday at Masintha Ground in Lilongwe where the party was celebrating its 30 years unnivesary, he said 2063 is too far from a projection for the country, which is rich in resources such as gas, oil,water and precious stones that can spur development. 
Said Muluzi; “With good leadership, the country can develop in a very short period. The big problem we have is corruption. Leaders do not think about the nation. They think of how much they will steal with corruption we cannot make progress.” 
He stressed that UDF holds the key to developing this country, “within 10 years, can reach level of Dubai, Kuwait and Qatar. We need to join hands to develop this country, Malawi is a very rich,” said Muluzi. 
On her part, UDF President Lilian Patel said the goal of UDF is to get back into government by 2025 and develop the country. 
She called for unity within the party if it is to make it in 2025. 
Through the MW2063 Agenda, Malawi envisions to become a self – reliant nation by 2063. 
The national development blueprint is promoting agriculture commercialization, industrialization and information communication technology among other concepts as pillars of development.” Atupele faults long – term development ",,National Publications Limited,1
FEB 12 2020,,"Charles Mhango, lawyer for President Peter Mutharika, argues that allowing the court's judgment to be enforced would render their appeal pointless if successful. He asserts that the court's orders involve the use of public resources, and if the appellants succeed, it would lead to a waste of those resources. Mhango urges the court to consider the expenses and injustice involved in implementing the order.",Audrey Kapalamula,Times 360 Malawi,1
JAN 23 2020,,"The ACB is applying to the High Court this morning to overturn the order issued by the Zomba Magistrate Court, which cancelled businessman Thom Mpinganjira's warrant of arrest. ACB Director Reyneck Matemba has traveled to Blantyre to personally handle the application.",,Times 360 Malawi,1
FEB 4 2020,,"Chakwera mentions that the day's rally was unplanned; however, upon learning that supporters had gathered at the MCP headquarters, he felt compelled to address them.",Sharon Chirwa,Times 360 Malawi,1
FEB 25 2020,,"UDF Publicity Secretary, Ken Ndanga, says the alliance is a will of the people and it is what their members and most Malawians have always wanted.",Sharon Chirwa,Times 360 Malawi,1
FEB 8 2020,,PP Vice President Ephraim Chivunde notes that “the court was very clear that there should be a fresh presidential election. People from all regions need to work together. All political parties should come and work with us. We all agreed that Dr. Chakwera should be the country's president.”,MacDonald Thom,Times 360 Malawi,1
FEB 13 2020,,Demonstrations in Mzuzu have begun.,Sam Kalimira,Times 360 Malawi,1
9/29/2024,,"Malawi Congress Party- MCP has written the opposition, United Democratic Front- UDF that much as they appreciate the invitation to attend their National Convention, but ""circumstances that have erupted"" recently has made them to rescind their decision not to attend it.
In the letter that has  been signed by the party's Secretary General, Richard Chimwendo Banda says the decision has been reached after looking at all events that have happened last week regarding their invitation and that some are considering to start violence due to MCP's presence at the convention.
Chimwendo has further said that the decision will help UDF to have a peaceful convention on Wednesday at COMESA HALL in Blantyre.",,Malawi Voice,0
4/3/2023,,"As a new Malawi Congress Party (MCP) media guru let me thank my president of MCP Dr. Lazarus Chakwera for donating K120 million and some blankets to DODMA, on behalf of, Presidential Charity Initiative he founded.
The money is part of money raised last year October during presidential golf charity event.
That so, he should have been the first to donate as the money was readily available, the president chose to be the last one, after everyone has donated, his choice. Still this is a good initiative.",,Malawi Voice,0
FEB 26 2020,,"The DPP demostrators have changed their route, from the initial planned Lilongwe Old Town route and are now using the Mchesi road after a large number of people blocked the Old Town route.",Faith Kadzanja,Times 360 Malawi,1
3/30/2023,,"I feel the former president having been in politics for 70years + plus, needs some rest. He needs to have time for the family, his children and grandchildren. Party or state leadership exhausts and stresses at the same time. He needs to enjoy his retirement now and have time for his family. He can be handy as an advisor in his retirement to any of the leaders. He has done quite alot for the world including Malawi and he just deserves that rest.
I have always imagined if he was my biological father, what would I have wished for him at this crucial moment? My wish would have been what his family thinks now which I am told is not to contest. I know having him back politically will be beneficial to me personally but I also need to think rationally. APM has mentored lots of people within his party and it will be doing him injustice to push for his candidature whilst he has not enjoyed the be",,Malawi Voice,0
,"EU, Worlds Bank dismiss Atupele  ","The European Union (EU) and the World Bank yesterday distanced development partners fromremarks by United Democratic Front (UDF) presidential candidate Atupele Muluzi purporting that donors will only resume budget support if there will be regime change in the May 20 Tripartite Elections. Atupele, the youngest of the 12 presidential candidates, told a rally in Mzuzu on Sunday that alongside his running mate Godfrey Chaponda they met representatives of the International Monetary Fund (IMF), the World Bank and other development partners last Friday. He claimed the development partners told opposition leaders they would only support the budget if there is change of government. Said Atupele; “On Friday, Dr Godfrey Chaponda and l met with World Bank, International Monetary Fund [IMF] and Malawi’s donor partners who told us openly that if we don’t change government this year, then will reserve to zero – deficit budget. “Today, the Government of Malawi has already started to put in place zero- deficit budget and you all know what this means, the problem we encountered will come back to haunt us if we continue with this government. They [donors] have told us openly that because of Cashgate, issues of theft and economic mismanagement, they will not inject any money if things don’t change.” But in a written response to a questionnaire from The Nation to authenticate Atupele’s claims, EU head of delegation Alexander Baum said whereas he did not personally listen to Atupele’s address, disbursement of budget support is based on macro – economic stability as assessed by the IMF and the public finance management – related assessments of fiduciary risks. Said Baum; “[The Malawi] government has implemented a number of action, but many actions necessary to fix the public finances are still work in progress. Each partner assesses its fiduciary risks and takes decision on this basis. “There are no political criteria linked to budget support in Malawi other than what we call the ‘fundamental principles ‘, i.e. human rights, democracy etc. There is consequently not a link to a specific government that any colleague from the international partners would have said something different. I hope this clarifies it.” In an earlier interview, Zeria Banda, who is responsible for communications at the World Bank African Regional Office, said when the World Bank met with members, nothing was said regarding elections. She said; “We met with leaders of various political parties, including PP [ People’s Party], MCP [ Malawi Congress Party] and UDF to share our perspectives on the state of the economy and how to sustain reforms for more meaningful economic development. We also discussed agricultural reforms. We did not touch elections or results thereof.” Malawi's national budget is financed 40 percent by donors on the recurrent expenditures and 80 percent on development expenditure. Last November, the country’s major donors under the common Approach to Budget Support (Cabs), to which Baum is to co- chairperson, announced the withholding of $150 million in budget support in protest over plunder of public resources at Capital Hill widely known as Cashgate. Last week, an IMF mission from Washington led by Tsidi Tsikata said the IMF will wait for the election before it releases a $20 million (about K8.4 billion) disbursement into the government purse as part of the Extended Credit Facility programme. Tsikata also said the mission had proposed to return to Lilongwe in June to confirm the recommendation agreed before submitting a report to the IMF management and Executive Board.  ",,National Publications Limited,1
JAN 29 2020,,Business mogul Thom Mpinganjira is expected to appear in court today on allegations that he wanted to bribe the five judges hearing the elections case. He is also expected to apply for bail. ACB Director Reyneck Matemba said the bureau will not object the bail application but will ask for some conditions. ,Jameson Chauluka,Times 360 Malawi,1
FEB 4 2020,,"MCP President Lazarus Chakwera urged Malawians not to inflict suffering on one another as colonialists did, emphasizing the importance of unity among all Malawians.",Sharon Chirwa,Times 360 Malawi,1
10/6/2024,,"Former President Professor Peter Mutharika has appealed to Lhomwes to register in large numbers for the 2025 elections, emphasizing the importance of voting for their desired leaders.
Speaking at the Mulhakho Wa Alhomwe annual festival in Chonde, Mulanje, Mutharika, also the Democratic Progressive Party (DPP) presidential candidate, stressed, “You must register in the electoral roll to stand a chance of voting for your desired leader.”
Mutharika assured the crowd that, if elected, he would prioritize addressing Malawi’s challenges, including hunger.",,Malawi Voice,0
,,,,,1
FEB 25 2020,,"UDF President, Atupele Muluzi, has thanked President Peter Mutharika for the opportunity to once again serve Malawians.",Sharon Chirwa,Times 360 Malawi,1
,VEEP MEETS MALAWI COMMUNITY IN RWANDA,"Vice-President Michael Usi has encouraged Malawians in the diaspora to prioritize investing in Malawi and not in the countries they are based. He told the Malawian community in Kigali Rwanda that it was their responsibility to develop their own country instead of just criticizing what they deem is no not right. Said Usi be ambassadors for your country, speak positive of your country, make positive contribution and capitalize on the opportunities to develop the country. We need to utilize the expertise in the diaspora to make improvement of different sectors."" The Veep highlighted the cleanliness of the city of Kigali as one thing Malawe can emulate. Speaking on behalf of the Malawian community Atupele Zimba described the meeting as success especially in how the diaspora can work with the government. ",,National Publications Limited,1
10/1/2021,"Malawi, others at risk of widening digital divide","The United Nations says Malawi and other leastdeveloped countries (LDC) are at risk of falling further behind on the use and uptake of digital services as the share of information and communications technology (ICT) imports continues to drop across all regions.
Figures from the United Nations Conference on Trade and Development (Unctad) show that for some time, ICT imports for LCDs and Africa were at 3.5 percent for LCDs and 5.3 percent for Africa.
Unctad says the increases in other regions were larger and the extent to which LCDs and Africa trail other regions in the world is huge.
ICT imports in Asia stood at 28 percent, 16 percent for developed regions and 13 percent for Latin America and the Caribbean.
In a statement, Unctad director of technology and logistics Shamika Sirimanne said the Covid-19 pandemic has made affordable ICT goods imports even more important for countries at early stages of the digital transformation.
These are the same countries that saw the biggest falls in ICT goods imports in 2020.
She said: ""In this context, adopting trade facilitation and customs automation measures to smooth import processes will be important to improve access to the equipment needed in the digital economy.""
Globally, imports of ICT goods grew by 1.1 percent, rising $27 billion to almost $2.5 trillion.
The report further said that the pandemic-related acceleration in digitalisation risks further exacerbating digital divides, with LDCs being left further behind.
""It is now more urgent than ever to ensure that those trailing in digital readiness can catch-up,"" said Unctad in its technical note on the pandemic's impact on trade in the digital economy.
Unctad figures show that in 2020, computers and peripheral equipment overtook communication equipment as the second largest component of ICT imports, after electronic components, for the first time since 2013, increasing by three percent while imports of communication and consumer electronic equipment fell by around 10 percent.
In an interview on Tuesday, ICT Association of Malawi president Bram Fudzulani observed that the demand for ICT services in the country is suppressed by high cost of ICT equipment.
He said: ""We need to revise taxes and fees levied on smartphone devices and Internet for an ordinary Malawian to afford.
""The numbers accessing
ICT are worrying when looking at the largest population with access to Internet and smartphones.""
Through the Malawi Digital Economy Strategy, the Malawi Government targets to increase network access for Internet usage to 80 percent of the population from the current 13.8 percent and increasing device ownership from 51 percent to 80 percent by 2026.
The strategy, which notes that affordability is the largest barrier to uptake of mobile services in Malawi with device costs contributing. significantly to this, says to address the barriers, it will phase out the 10 percent excise on data and text package purchases and phase out Malawi Communications Regulatory Authority's 3.5 percent tax on ICT provider turnover.",Grace Phiri,National Publications Limited,1
,Usi warns errant civil servants ,"Vice – President Michael Usi has warned civil servants  against reporting rate for duties, saying the government will not hesitate to dismiss such employees.  
Speaking in an interview after making a surprise visit at Chikwawa District Council offices and Chikwawa District Hospital yesterday, he said most civil servants report late for duties as they wish, defying the official Malawi Government working hours from 7.30am to 4.30pm. 
Usi said some civil servants’ tendency of reporting for duties late is one of the factors hindering the country’s development. 
He said; “So, this time around, we will go after them [civil servants] and make sure that those that deserve to be booted out; they have been booted out. We need to serve Malawians better.” 
During his visit, Usi expressed satisfaction that Chikwawa district commissioner Nardin Kamba and director of health and social services Grace Momba were executing their duties as they were in office by 7.30am. 
In his remarks Kamba decried low funding, saying it was compromising public service delivery in the district. 
He said; “But as a district, we are trying our best to maximise our local revenue generation. We are working with other partners to fill in the gaps that we have in delivery of public service. 
“One of the examples is we wrote a proposal to EU [ European Union] and they are about to grant us 1 million euro [ about K1,2 billion] to use for environmental management,” 
At Chikwawa District Hospital the Vice – President bumped into a nurse who reported for work at 8am. 
He quizzed her why she was late, and she said she had had a problem with her child. 
Commenting on the Vice – President's move, Malawi University of Business and Applied Sciences development scholar Andrew Kaponya and Catholic University of Malawi development studies senior lecturer Justine Mangulama separately said the surprise visit was aligned with Malawi 2063, the country's long – term development strategy which calls for mindset change in pursuit of the aspiration to transform the economy  middle income status. 
But Kaponya said while presence and punctuality is important, the government should ensure that its staff are given necessary resources to execute their tasks. 
Mangulama, on the other hand, urged Usi and senior government ministries, departments and agencies to appreciate the actual situation on the ground. 
He said; “If civil servants know that they can be visited anytime, they will be vigilant, and we can improve the service delivery. 
“But this should also be accompanied by better working conditions. 
This can help to boost the morale of the civil servants.” 
President Lazarus Chakwera, the late Saulos Chilima and former president Bakili Muluzi previously conducted similar surprise visits to state agencies. ",,National Publications Limited,1
FEB 7 2020,,Attorney General Kalekeni Kaphale confirms that the Malawi Electoral Commission intends to appeal the Constitutional Court's ruling that invalidated the 2019 presidential election results.,,Times 360 Malawi,1
JAN 13 2020,,"Malawi Communications Regulator Authority (Macra) has been asked to crack down on people spreading fake news about the #PresidentialElectionsCase verdict. Reverend Jailosi Kamisa, Parish Minister for Nkhata Bay Church of Central African Presbyterian under the Livingstonia Synod, said Macra's proactive efforts to combat fake news can help diffuse tension.",,Times 360 Malawi,1
FEB 12 2020,,"Ansah: ""As a justice, I cannot simply respond with a yes or no, as some matters require explanation."" Chairperson PAC Collins Kajawa responds: ""You have to follow the orders of the house.""",,Times 360 Malawi,1
FEB 13 2020,,"A temporary barricade has been set a few meters away from MEC offices in Area 9, blocking protesters from reaching the premises.",Audrey Kapalamula,Times 360 Malawi,1
FEB 11 2020,,"Commissioner Moffat Banda mentions that MEC used a computer system to upload electoral results, but he did not log into the system at any point, as the commissioners relied on a manual process.",Faith Kadzanja,Times 360 Malawi,1
5/6/2022,Man arrested for insulting minister Kamtukule,"Police in Lilongwe have arrested businessperson Dauka Manondo, 51, on allegations that he insulted Minister of Labour Vera Kamtukule. In a statement released yesterday, Lilongwe Police public relations officer, Hastings Chigalu, said Manondo is alleged to have insulted the minister through a social media post on April 24 2022 when President Lazarus Chakwera was coming from Mozambique. ""Kamtukule was among the dignitaries who were at the airport welcoming the Head of State. The suspect, Manondo, posted a picture of the said minister taken at the airport, on a WhatsApp platform and captioned it with insulting words."" Chigalu said upon seeing the post, some members of the group lodged a complaint with the police. Manondo has since been charged with Cyber Harassment, a case which contravenes Section 86 of Cyber Crimes Act. He will appear in court soon.",The Nation,National Publications Limited,1
FEB 13 2020,,MEC Head Offices in Blantyre have been sealed using a heavy-duty chain.,,Times 360 Malawi,1
FEB 4 2020,,Supporters of UTM and MCP are celebrating at their respective headquarters in Lilongwe.,Sharon Chirwa,Times 360 Malawi,1
,Atupele says not an opportunist ,"United Democratic Front (UDF) Atupele Muluzi says his acceptance of a Cabinet position as Minister of Natural Resources,Energy and Mining does not make him an opportunist. Atupele, who has been roped in President Peter Muthalika’s first Cabinet, said in an interview in Lilongwe he is in Cabinet to serve and deliver the transformation agenda to Malawians. On whether he is an opportunist by accepting the post, Atupele, who finished fourth in the presidential Elections, said; “How is this making me an opportunist? You can serve in Cabinet and serve Malawians, just the same way as you can serve any position. “There are some synergies between Democratic Progressive Party (DPP) manifesto and UDF manifesto and we saw this even during the debates, where it was all about exchanging ideas to the cause. “It’s about Malawi, and whatever capacities and positions we serve it’s really about Malawians at heart and this is a necessity to the need for unity of purpose and making sure it’s about Malawi and putting Malawi forward.” Atupele said his Cabinet appointment will not disorient UDF and that he is in consultation with his members. “I think what is important is that this [decision] is about making sure that we deliver our transformation agenda for Malawians and, of course, the consultation process are still underway and will be able to communicate what that process will be,” he said. This is the second time Atupele has accepted a Cabinet posting from a governing party. In 2012, Atipele and several UDF members of Parliament (MPs) were in the first Cabinet hired by former president Joyce Banda of People’s Party (PP). On Monday, UDF sources indicated that after his appointment, Atupele summoned his party’s senior members to a meeting in Lilongwe where he pleaded with them not to disintegrate. Atupele reportedly told his party members that he knew some were against his appointment and his decision could create problems, but he said he needed their support. The sources claimed that there was a minor feud within UDF’s rank and file following Atupele’s appointment to Cabinet. But UDF spokesperson Ken Ndanga yesterday said it is impossible with human nature to make a decision that satisfies every person despite its motives. Said Ndanga; “Our president has not gone in government to serve the interest of any political party, but to serve Malawians regardless of their affiliation, religion, tribe or status in society. He is above partisan politics.” UDF won 14 parliamentary seats in the May 20 Tripartite Elections. ",,National Publications Limited,1
JAN 20 2020,,MEC Chairperson Justice Jane Ansah addressed the media regarding the resumption of the Lilongwe South and Liwawadzi Ward By-elections. She warned political parties and individuals to desist from violence leading up to the by-election.,Audrey Kapalamula,Times 360 Malawi,1
FEB 10 2020,,Bishop Mary Nkosi has rated the Commission’s performance appraisal as 7 out of 10.,Audrey Kapalamula,Times 360 Malawi,1
FEB 25 2020,,"Human Rights Defenders Coalition (HRDC) chairperson Timothy Mtambo has given President Peter Mutharika seven days to assent to the bills on electoral reforms, which Parliament passed on Monday. HRDC has also given Mutharika one week to appoint new Malawi Electoral Commission (Mec) Commissioners. According to Mtambo, should Mutharika fail to comply, HRDC will mobilise 5 million Malawians for a march to State House to force him to sign the bills into laws.",Mabvuto Kambuwe,Times 360 Malawi,1
